id,category,title,author,date,comments,image,content,tags,read_time,excerpt,views
1,CAP_NHAT_DICH_VU,"Hướng dẫn sử dụng nhà ga Bến Thành Metro","Nguyễn Văn An","2025-01-15 08:30:00",45,"/images/blog/ben-thanh-station.jpg","Nhà ga Bến Thành là trung tâm giao thông quan trọng của hệ thống Metro TP.HCM. Bài viết này sẽ hướng dẫn chi tiết cách di chuyển trong nhà ga, từ lối vào đến các tuyến tàu khác nhau. Hãy theo dõi các biển chỉ dẫn màu xanh để đến tuyến số 1, màu đỏ cho tuyến số 2. Khu vực mua vé nằm ở tầng trệt, với các máy bán vé tự động hỗ trợ tiếng Việt và tiếng Anh.","HUONG_DAN_NHA_GA|VE_DIEN_TU","5 phút","Khám phá cách sử dụng hiệu quả nhà ga Bến Thành với những mẹo hữu ích từ chuyên gia.",1250
2,HUONG_DAN_AN_TOAN,"An toàn khi di chuyển bằng tàu Metro","Trần Thị Bình","2025-01-14 14:20:00",32,"/images/blog/metro-safety.jpg","An toàn luôn là ưu tiên hàng đầu khi sử dụng hệ thống tàu điện ngầm. Trong bài viết này, chúng tôi sẽ chia sẻ những quy tắc vàng để đảm bảo chuyến đi an toàn: Luôn đứng sau vạch vàng khi chờ tàu, để hành khách xuống trước khi lên tàu, giữ chắc tay vịn khi tàu di chuyển. Đặc biệt lưu ý với trẻ em và người cao tuổi cần được hỗ trợ đặc biệt.","HUONG_DAN_NHA_GA|TIEN_NGHI_NGUOI_KHUYET_TAT","7 phút","Những nguyên tắc an toàn cơ bản mà mọi hành khách cần biết khi sử dụng Metro.",890
3,MEO_CHO_HANH_KHACH,"Mẹo tránh tắc nghẽn giờ cao điểm","Lê Minh Cường","2025-01-13 09:15:00",78,"/images/blog/rush-hour-tips.jpg","Giờ cao điểm từ 7-9h sáng và 17-19h chiều là thời gian đông đúc nhất. Để di chuyển thuận tiện, hãy áp dụng những mẹo sau: Khởi hành sớm hơn 15-20 phút, sử dụng ứng dụng Metro HCM để xem tình trạng tàu real-time, chọn toa cuối hoặc đầu tàu thường ít đông hơn. Nếu có thể, hãy linh hoạt thời gian làm việc để tránh giờ đông nhất.","MEO_GIO_CAO_DIEM|UNG_DUNG_DI_DONG","6 phút","Làm thế nào để di chuyển thoải mái trong giờ cao điểm? Đây là những bí quyết từ hành khách lâu năm.",1456
4,CONG_NGHE_METRO,"Công nghệ hiện đại trong hệ thống Metro TP.HCM","Phạm Văn Đức","2025-01-12 16:45:00",23,"/images/blog/metro-technology.jpg","Hệ thống Metro TP.HCM được trang bị những công nghệ tiên tiến nhất: Hệ thống điều khiển tàu tự động CBTC đảm bảo an toàn tuyệt đối, hệ thống thông tin hành khách real-time, cửa an toàn tại sân ga. Đặc biệt, hệ thống vé thông minh cho phép thanh toán bằng thẻ từ, QR code và NFC. Tất cả đều được vận hành bởi trung tâm điều khiển hiện đại 24/7.","UNG_DUNG_DI_DONG|VE_DIEN_TU","8 phút","Khám phá những công nghệ tối tân giúp Metro TP.HCM trở thành hệ thống giao thông thông minh.",654
5,THONG_TIN_LICH_TRINH,"Lịch trình tàu tuyến số 1 Bến Thành - Suối Tiên","Ngô Thị Hạnh","2025-01-11 11:30:00",56,"/images/blog/line1-schedule.jpg","Tuyến số 1 hoạt động từ 5:00 - 22:00 hàng ngày với tần suất 4-6 phút/chuyến. Chuyến đầu khởi hành từ Bến Thành lúc 5:15, chuyến cuối 21:45. Từ Suối Tiên, chuyến đầu 5:00 và chuyến cuối 22:00. Thời gian di chuyển toàn tuyến khoảng 45 phút, dừng tại 14 ga. Cuối tuần và lễ tết có thể điều chỉnh giãn cách 8-10 phút để bảo trì kỹ thuật.","THONG_TIN_LICH_TRINH|HUONG_DAN_NHA_GA","4 phút","Thông tin chi tiết về lịch trình và tần suất tàu tuyến số 1 để bạn dễ dàng lập kế hoạch di chuyển.",2103
6,KHUYEN_MAI,"Ưu đãi vé tháng cho sinh viên và người cao tuổi","Võ Minh Tâm","2025-01-10 13:20:00",134,"/images/blog/discount-tickets.jpg","Chương trình ưu đãi đặc biệt dành cho sinh viên và người trên 60 tuổi đã chính thức có hiệu lực. Sinh viên được giảm 30% giá vé tháng khi xuất trình thẻ sinh viên hợp lệ. Người cao tuổi từ 60 trở lên được giảm 50% mọi loại vé. Người khuyết tật và thương binh được miễn phí hoàn toàn. Thủ tục đăng ký đơn giản tại quầy dịch vụ khách hàng mọi nhà ga.","GIAM_GIA|VE_DIEN_TU|TIEN_NGHI_NGUOI_KHUYET_TAT","5 phút","Tiết kiệm chi phí di chuyển với các chương trình ưu đãi hấp dẫn dành cho nhiều đối tượng.",1789
7,THONG_BAO_CHUNG,"Khai trương ga Thảo Điền trên tuyến số 2","Đặng Văn Hùng","2025-01-09 07:00:00",89,"/images/blog/thao-dien-opening.jpg","Ga Thảo Điền chính thức đi vào hoạt động từ ngày 15/01/2025, đánh dấu cột mốc quan trọng trong phát triển mạng lưới Metro TP.HCM. Ga được thiết kế hiện đại với 2 tầng, tích hợp trung tâm thương mại và khu vực đỗ xe. Kết nối thuận tiện với các tuyến xe buýt số 18, 20 và 152. Dự kiến phục vụ 50,000 lượt khách/ngày, giảm áp lực giao thông khu vực quận 2.","KHAI_TRUONG_TUYEN_MOI|HUONG_DAN_NHA_GA","6 phút","Ga Thảo Điền mở cửa với nhiều tiện ích hiện đại, mang lại trải nghiệm mới cho hành khách khu Đông.",945
8,CAP_NHAT_DICH_VU,"Cập nhật bản đồ tuyến Metro mới nhất 2025","Hoàng Thị Lan","2025-01-08 15:40:00",67,"/images/blog/updated-map.jpg","Bản đồ hệ thống Metro TP.HCM đã được cập nhật với những thay đổi mới nhất. Tuyến số 3 Bến Thành - Tân Sơn Nhất đang trong giai đoạn hoàn thiện, dự kiến khai thác quý 3/2025. Tuyến số 4 và 5 đang trong giai đoạn khảo sát thiết kế. Ứng dụng Metro HCM cũng đã cập nhật bản đồ tương tác với tính năng định vị GPS và gợi ý tuyến đường tối ưu.","CAP_NHAT_BAN_DO|UNG_DUNG_DI_DONG","7 phút","Khám phá bản đồ Metro mới nhất với thông tin chi tiết về các tuyến đang và sắp hoạt động.",1324
9,MEO_CHO_HANH_KHACH,"Hướng dẫn sử dụng ứng dụng Metro HCM","Bùi Văn Khôi","2025-01-07 10:25:00",112,"/images/blog/mobile-app-guide.jpg","Ứng dụng Metro HCM là công cụ không thể thiếu cho mọi hành khách. Tải miễn phí trên App Store và Google Play, ứng dụng cung cấp: Bản đồ tương tác với định vị GPS, thông tin lịch trình real-time, tính năng mua vé trực tuyến, thông báo sự cố hoặc thay đổi lịch trình. Đăng ký tài khoản để lưu các tuyến đường yêu thích và nhận thông báo cá nhân hóa.","UNG_DUNG_DI_DONG|VE_DIEN_TU","8 phút","Tận dụng tối đa ứng dụng Metro HCM với hướng dẫn chi tiết từng tính năng.",2456
10,HUONG_DAN_AN_TOAN,"Quy trình xử lý đồ thất lạc tại hệ thống Metro","Châu Thị Mai","2025-01-06 12:10:00",43,"/images/blog/lost-and-found.jpg","Khi để quên đồ trên tàu hoặc trong ga, đừng lo lắng! Hệ thống Lost & Found của Metro hoạt động 24/7. Bước 1: Báo ngay cho nhân viên ga gần nhất hoặc gọi hotline 1900-1520. Bước 2: Mô tả chi tiết vật phẩm và địa điểm có thể để quên. Bước 3: Cung cấp thông tin liên lạc. Đồ thất lạc được bảo quản tại trung tâm 30 ngày, sau đó chuyển cơ quan chức năng theo quy định.","DO_THAT_LAC|HUONG_DAN_NHA_GA","5 phút","Quy trình tìm lại đồ thất lạc đơn giản và hiệu quả của hệ thống Metro TP.HCM.",789
11,CONG_NGHE_METRO,"Hệ thống thông báo và âm thanh tại các ga Metro","Lý Văn Phước","2025-01-05 16:55:00",29,"/images/blog/audio-system.jpg","Hệ thống thông báo hiện đại tại Metro TP.HCM sử dụng công nghệ âm thanh định hướng. Thông báo song ngữ Việt-Anh với giọng đọc chuẩn, âm lượng tự động điều chỉnh theo tiếng ồn môi trường. Hệ thống còn tích hợp âm thanh cảnh báo cho người khiếm thị, đèn LED đồng bộ cho người khiếm thính. Màn hình hiển thị thông tin cũng được thiết kế với font chữ dễ đọc và độ tương phản cao.","THONG_BAO_CONG_CONG|TIEN_NGHI_NGUOI_KHUYET_TAT","6 phút","Công nghệ âm thanh tiên tiến tạo nên trải nghiệm thông tin tối ưu cho mọi hành khách.",567
12,THONG_TIN_LICH_TRINH,"Thông báo bảo trì định kỳ tháng 1/2025","Nguyễn Minh Đức","2025-01-04 20:15:00",156,"/images/blog/maintenance-notice.jpg","Chương trình bảo trì định kỳ tháng 1/2025 sẽ diễn ra từ 23:00 - 4:00 các ngày 20, 21, 22/01. Trong thời gian này, dịch vụ tàu tạm ngưng hoạt động để kiểm tra an toàn toàn hệ thống. Hành khách có thể sử dụng các tuyến xe buýt thay thế BRT-01 và BRT-02 chạy song song với tuyến Metro. Vé Metro có thể sử dụng miễn phí trên xe buýt thay thế.","THONG_BAO_BAO_TRI|THONG_BAO_CONG_CONG","4 phút","Thông tin chi tiết về lịch bảo trì và phương án di chuyển thay thế trong thời gian này.",1678
13,KHUYEN_MAI,"Chương trình khuyến mãi mua vé điện tử qua app","Trương Văn Nam","2025-01-03 14:30:00",198,"/images/blog/e-ticket-promo.jpg","Từ ngày 01/02 đến 29/02/2025, mua vé qua ứng dụng Metro HCM được giảm 20% mọi loại vé. Thêm vào đó, lần đầu đăng ký tài khoản được tặng 2 vé miễn phí. Thanh toán qua ví điện tử MoMo, ZaloPay được cashback thêm 5%. Đặc biệt, khách hàng mua vé tháng qua app được tích điểm đổi quà hấp dẫn: cốc Metro, áo thun, thậm chí vé máy bay trong nước.","GIAM_GIA|VE_DIEN_TU|UNG_DUNG_DI_DONG","7 phút","Tiết kiệm tối đa với chương trình ưu đãi mua vé điện tử, nhiều phần quà giá trị đang chờ bạn.",2789
14,HUONG_DAN_AN_TOAN,"Hướng dẫn hỗ trợ hành khách khuyết tật","Vũ Thị Hương","2025-01-02 11:45:00",84,"/images/blog/accessibility-guide.jpg","Metro TP.HCM cam kết phục vụ bình đẳng mọi hành khách. Tất cả ga đều có thang máy, đường dốc cho xe lăn, và khu vực ưu tiên. Nhân viên được đào tạo chuyên sâu về hỗ trợ người khuyết tật. Người khiếm thị có thể sử dụng gậy dẫn đường đặc biệt, người khiếm thính được hỗ trợ bằng ngôn ngữ ký hiệu. Liên hệ trước 30 phút qua hotline để được hỗ trợ tốt nhất.","TIEN_NGHI_NGUOI_KHUYET_TAT|HUONG_DAN_NHA_GA","8 phút","Cam kết về sự bình đẳng và những dịch vụ hỗ trợ đặc biệt dành cho hành khách khuyết tật.",923
15,CAP_NHAT_DICH_VU,"Ga Ba Son chính thức đi vào hoạt động","Phạm Thị Nga","2025-01-01 08:00:00",267,"/images/blog/ba-son-opening.jpg","Đầu năm 2025, ga Ba Son chào đón hành khách với thiết kế độc đáo lấy cảm hứng từ kiến trúc Sài Gòn xưa. Ga có vị trí đắc địa ngay trung tâm quận 1, kết nối trực tiếp với bến tàu du lịch sông Sài Gòn. Tích hợp khu vực triển lãm lịch sử và không gian văn hóa. Ga phục vụ 24/7 với đầy đủ tiện ích: WiFi miễn phí, khu vực sạc điện thoại, cửa hàng tiện lợi và quán café đặc sản.","KHAI_TRUONG_TUYEN_MOI|HUONG_DAN_NHA_GA","9 phút","Ga Ba Son - sự kết hợp hoàn hảo giữa hiện đại và truyền thống, mang đậm bản sắc Sài Gòn.",3456
16,MEO_CHO_HANH_KHACH,"10 mẹo sử dụng Metro hiệu quả cho người mới","Lê Thị Oanh","2024-12-31 17:20:00",145,"/images/blog/metro-tips-beginners.jpg","Lần đầu sử dụng Metro? Đây là 10 mẹo vàng: 1) Tải app Metro HCM trước khi đi, 2) Mua vé tháng nếu đi thường xuyên, 3) Tránh giờ cao điểm 7-9h và 17-19h, 4) Đứng bên phải trên thang cuốn, 5) Để hành khách xuống trước khi lên, 6) Giữ vé đến khi ra khỏi ga, 7) Sử dụng tai nghe khi nghe nhạc, 8) Nhường chỗ cho người già và trẻ em, 9) Chuẩn bị tiền lẻ cho máy bán vé, 10) Luôn kiểm tra đồ đạc trước khi xuống.","MEO_GIO_CAO_DIEM|HUONG_DAN_NHA_GA","6 phút","Hướng dẫn toàn tập cho người mới sử dụng Metro lần đầu, từ A đến Z.",1987
17,CONG_NGHE_METRO,"Hệ thống an ninh và camera giám sát Metro","Đinh Văn Cường","2024-12-30 13:50:00",72,"/images/blog/security-system.jpg","An ninh Metro được đảm bảo bởi hệ thống camera AI thông minh với 5000+ camera độ nét cao tại mọi ga và trên tàu. Công nghệ nhận diện khuôn mặt giúp phát hiện các đối tượng khả nghi. Hệ thống phân tích hành vi tự động cảnh báo các tình huống bất thường. Đội an ninh 24/7 phối hợp với công an địa phương đảm bảo trật tự. Nút báo động khẩn cấp được đặt khắp ga và trên tàu.","THONG_BAO_CONG_CONG|HUONG_DAN_NHA_GA","7 phút","Hệ thống an ninh hiện đại đảm bảo an toàn tuyệt đối cho hành khách Metro TP.HCM.",834
18,THONG_TIN_LICH_TRINH,"Lịch trình đặc biệt dịp Tết Nguyên Đán 2025","Hoàng Văn Tài","2024-12-29 09:30:00",234,"/images/blog/tet-schedule.jpg","Dịp Tết Nguyên Đán 2025, Metro điều chỉnh lịch trình phục vụ nhu cầu di chuyển của người dân. Từ 29 Tết đến mùng 3 Tết tàu chạy từ 6:00-20:00, giãn cách 10 phút. Mùng 4 Tết trở về lịch trình bình thường. Các ga trang trí đặc biệt với hoa mai, đào và biểu tượng năm Tỵ. Chương trình biểu diễn nghệ thuật dân gian tại ga trung tâm. Vé Tết có giá đặc biệt và được in hình linh vật năm mới.","THONG_TIN_LICH_TRINH|THONG_BAO_CONG_CONG","5 phút","Thông tin lịch trình Metro dịp Tết và những hoạt động văn hóa đặc sắc chào năm mới.",1543
19,KHUYEN_MAI,"Ưu đãi vé gia đình cuối tuần","Phan Thị Linh","2024-12-28 15:15:00",167,"/images/blog/family-weekend-deal.jpg","Cuối tuần là thời gian sum họp gia đình! Metro TP.HCM giới thiệu vé gia đình đặc biệt: 2 người lớn + 2 trẻ em (dưới 12 tuổi) chỉ với giá 80,000 VNĐ cho cả ngày cuối tuần. Vé có hiệu lực từ thứ 7 6:00 đến chủ nhật 22:00. Gia đình có thể tham quan mọi điểm đến trên toàn tuyến. Đặc biệt, trẻ em dưới 6 tuổi được miễn phí hoàn toàn. Mua vé tại quầy hoặc qua app với ưu đãi thêm 10%.","GIAM_GIA|VE_DIEN_TU","6 phút","Kỳ nghỉ cuối tuần trở nên tiết kiệm hơn với vé gia đình ưu đãi từ Metro.",2108
20,HUONG_DAN_AN_TOAN,"Quy định về hành lý và vật dụng cấm mang lên tàu","Võ Văn Hải","2024-12-27 12:40:00",95,"/images/blog/prohibited-items.jpg","Để đảm bảo an toàn chung, Metro có quy định nghiêm về hành lý: Cấm mang chất lỏng dễ cháy, vũ khí, dụng cụ sắc nhọn, thực phẩm có mùi nồng. Hành lý tối đa 23kg, kích thước không quá 100x60x40cm. Xe đạp gập được phép, xe đạp thường chỉ trong khung giờ quy định. Thú cưng phải trong lồng vận chuyển phù hợp. Đồ điện tử cá nhân không hạn chế khi sử dụng tai nghe.","HUONG_DAN_NHA_GA|THONG_BAO_CONG_CONG","8 phút","Nắm rõ quy định về hành lý để chuyến đi Metro của bạn thuận lợi và an toàn.",743